depth_m	ice_age_year_bp	delta_d_per_ml	temp_variation_degc	temp_c
199	8091	-433.3	0.3	-54.38333333
200	8135	-422.6	2.06	-52.6
201	8178	-431.4	0.59	-54.06666667
202	8226	-440.1	-0.87	-55.51666667
203	8276	-439.5	-0.78	-55.41666667
204	8325	-438	-0.55	-55.16666667
205	8374	-435.9	-0.21	-54.81666667
206	8422	-436.1	-0.26	-54.85
207	8471	-437.6	-0.52	-55.1
208	8520	-438.3	-0.65	-55.21666667
209	8569	-438.4	-0.68	-55.23333333
210	8619	-438.6	-0.73	-55.26666667
211	8668	-437.5	-0.56	-55.08333333
212	8716	-432	0.34	-54.16666667
213	8763	-433.2	0.13	-54.36666667
214	8811	-438.8	-0.81	-55.3
215	8861	-437	-0.53	-55
216	8910	-437	-0.54	-55
217	8960	-439	-0.88	-55.33333333
218	9009	-436.5	-0.48	-54.91666667
219	9058	-436	-0.41	-54.83333333
220	9107	-437.1	-0.6	-55.01666667
221	9156	-436.5	-0.51	-54.91666667
222	9204	-434.1	-0.13	-54.51666667
223	9252	-431.7	0.26	-54.11666667
224	9298	-433	0.03	-54.33333333
225	9346	-435.5	-0.39	-54.75
226	9396	-438	-0.82	-55.16666667
227	9445	-437.2	-0.7	-55.03333333
228	9494	-433.9	-0.16	-54.48333333
229	9542	-433.8	-0.16	-54.46666667
230	9589	-430.2	0.43	-53.86666667
231	9635	-429.6	0.51	-53.76666667
232	9682	-435.4	-0.46	-54.73333333
233	9732	-437.4	-0.8	-55.06666667
234	9782	-437.6	-0.85	-55.1
235	9831	-436.9	-0.74	-54.98333333
236	9881	-434.5	-0.36	-54.58333333
237	9929	-434.5	-0.37	-54.58333333
238	9978	-436.1	-0.65	-54.85
239	10027	-433.8	-0.28	-54.46666667
240	10075	-434.9	-0.47	-54.65
241	10124	-435.5	-0.58	-54.75
242	10172	-430	0.31	-53.83333333
243	10218	-428.7	0.52	-53.61666667
244	10265	-432.8	-0.18	-54.3
245	10315	-439.5	-1.3	-55.41666667
246	10366	-437.4	-0.97	-55.06666667
247	10415	-434.1	-0.43	-54.51666667
248	10465	-436	-0.76	-54.83333333
249	10515	-436	-0.77	-54.83333333
250	10564	-436	-0.79	-54.83333333
251	10614	-436.6	-0.9	-54.93333333
252	10665	-436.9	-0.96	-54.98333333
253	10715	-435.2	-0.7	-54.7
254	10764	-432.5	-0.26	-54.25
255	10812	-433.5	-0.44	-54.41666667
256	10861	-434.5	-0.62	-54.58333333
257	10910	-431.6	-0.15	-54.1
258	10957	-431.3	-0.12	-54.05
259	11005	-431.9	-0.23	-54.15
260	11053	-430.3	0.02	-53.88333333
261	11100	-429.8	0.09	-53.8
262	11146	-425.8	0.74	-53.13333333
263	11191	-425.3	0.81	-53.05
264	11237	-431.2	-0.18	-54.03333333
265	11286	-433	-0.48	-54.33333333
266	11334	-431.7	-0.27	-54.11666667
267	11383	-434.5	-0.73	-54.58333333
268	11434	-437.4	-1.22	-55.06666667
269	11485	-437.8	-1.29	-55.13333333
270	11537	-439.5	-1.57	-55.41666667
271	11590	-439.6	-1.59	-55.43333333
272	11642	-439.7	-1.61	-55.45
273	11695	-441	-1.83	-55.66666667
274	11749	-443.2	-2.2	-56.03333333
275	11805	-444.2	-2.37	-56.2
276	11861	-447.1	-2.85	-56.68333333
277	11918	-445.3	-2.55	-56.38333333
278	11973	-443.1	-2.19	-56.01666667
279	12029	-447	-2.84	-56.66666667
280	12087	-448.5	-3.09	-56.91666667
281	12144	-446.5	-2.77	-56.58333333
282	12202	-447.3	-2.9	-56.71666667
283	12261	-453.2	-3.88	-57.7
284	12323	-455	-4.18	-58
285	12385	-453.6	-3.96	-57.76666667
286	12446	-451.5	-3.61	-57.41666667
287	12507	-452.4	-3.76	-57.56666667
288	12569	-455.3	-4.25	-58.05
289	12632	-455.3	-4.25	-58.05
290	12694	-453.3	-3.91	-57.71666667
291	12755	-451.2	-3.57	-57.36666667
292	12815	-449.2	-3.24	-57.03333333
293	12874	-450.2	-3.4	-57.2
294	12934	-450.8	-3.5	-57.3
295	12994	-451.8	-3.67	-57.46666667
296	13055	-452.9	-3.85	-57.65
297	13116	-452.3	-3.75	-57.55
298	13177	-452.1	-3.72	-57.51666667
299	13237	-450.5	-3.45	-57.25
300	13296	-448.8	-3.17	-56.96666667
301	13355	-448.8	-3.17	-56.96666667
302	13414	-451.8	-3.67	-57.46666667
303	13476	-455.5	-4.28	-58.08333333
304	13539	-453.9	-4.02	-57.81666667
305	13600	-451.2	-3.57	-57.36666667
306	13659	-449.4	-3.27	-57.06666667
307	13718	-447.2	-2.91	-56.7
308	13774	-442.9	-2.19	-55.98333333
309	13828	-442	-2.04	-55.83333333
310	13883	-443.2	-2.24	-56.03333333
311	13938	-442.1	-2.06	-55.85
312	13992	-443.7	-2.32	-56.11666667
313	14048	-445.2	-2.57	-56.36666667
314	14105	-446.8	-2.83	-56.63333333
315	14163	-448.3	-3.08	-56.88333333
316	14221	-449.9	-3.34	-57.15
317	14281	-451.4	-3.6	-57.4
318	14342	-453	-3.85	-57.66666667
319	14404	-454.5	-4.11	-57.91666667
320	14466	-451.7	-3.64	-57.45
321	14526	-452.8	-3.82	-57.63333333
322	14589	-456	-4.34	-58.16666667
323	14651	-453.8	-3.98	-57.8
324	14713	-453.5	-3.92	-57.75
325	14775	-454.8	-4.14	-57.96666667
326	14839	-457.1	-4.52	-58.35
327	14904	-458.1	-4.68	-58.51666667
328	14968	-456.7	-4.44	-58.28333333
329	15032	-458	-4.66	-58.5
330	15099	-462	-5.32	-59.16666667
331	15167	-462.5	-5.4	-59.25
332	15234	-460.1	-5	-58.85
333	15300	-459	-4.81	-58.66666667
334	15366	-458.6	-4.74	-58.6
335	15432	-461.1	-5.15	-59.01666667
336	15501	-464.5	-5.71	-59.58333333
337	15570	-463.8	-5.6	-59.46666667
338	15639	-462.9	-5.44	-59.31666667
339	15708	-463.7	-5.57	-59.45
340	15777	-462	-5.29	-59.16666667
341	15845	-462.4	-5.35	-59.23333333
342	15915	-467.5	-6.19	-60.08333333
343	15987	-466.3	-5.99	-59.88333333
344	16057	-464.9	-5.75	-59.65
345	16128	-466.9	-6.08	-59.98333333
346	16201	-468.5	-6.34	-60.25
347	16275	-470.9	-6.74	-60.65
348	16350	-471.8	-6.88	-60.8
349	16426	-471.8	-6.88	-60.8
350	16502	-471	-6.74	-60.66666667
351	16577	-471.2	-6.77	-60.7
352	16653	-472.4	-6.97	-60.9
353	16729	-473.6	-7.16	-61.1
354	16808	-475.6	-7.49	-61.43333333
355	16889	-480.7	-8.33	-62.28333333
356	16974	-481.8	-8.51	-62.46666667
357	17058	-479	-8.04	-62
358	17139	-476.4	-7.6	-61.56666667
359	17219	-476	-7.53	-61.5
360	17298	-475.5	-7.45	-61.41666667
361	17379	-479.4	-8.09	-62.06666667
362	17462	-480.5	-8.27	-62.25
363	17544	-477	-7.68	-61.66666667
364	17625	-477.6	-7.78	-61.76666667
365	17706	-478	-7.84	-61.83333333
366	17787	-477.9	-7.82	-61.81666667
367	17868	-477.3	-7.72	-61.71666667
368	17949	-477.5	-7.75	-61.75
369	18031	-480.2	-8.19	-62.2
370	18116	-482.8	-8.63	-62.63333333
371	18201	-480	-8.16	-62.16666667
372	18283	-478.4	-7.89	-61.9
373	18365	-477.5	-7.74	-61.75
374	18446	-478.9	-7.97	-61.98333333
375	18530	-482.1	-8.5	-62.51666667
376	18615	-481.7	-8.43	-62.45
377	18701	-483.5	-8.73	-62.75
378	18787	-481.9	-8.46	-62.48333333
379	18870	-476.6	-7.58	-61.6
380	18950	-476.9	-7.63	-61.65
381	19032	-479.8	-8.11	-62.13333333
382	19116	-480.7	-8.26	-62.28333333
383	19199	-479.4	-8.03	-62.06666667
384	19282	-478	-7.81	-61.83333333
385	19362	-476.4	-7.54	-61.56666667
386	19443	-477.4	-7.7	-61.73333333
387	19525	-480.1	-8.15	-62.18333333
388	19610	-481.9	-8.45	-62.48333333
389	19696	-483.5	-8.71	-62.75
390	19782	-482.4	-8.52	-62.56666667
391	19868	-482.9	-8.61	-62.65
392	19953	-479.2	-7.99	-62.03333333
393	20035	-477	-7.62	-61.66666667
394	20116	-478.3	-7.84	-61.88333333
395	20197	-476.4	-7.52	-61.56666667
396	20278	-478.2	-7.82	-61.86666667
397	20361	-480	-8.11	-62.16666667
398	20444	-479.8	-8.08	-62.13333333
399	20528	-479.5	-8.03	-62.08333333
400	20611	-479.6	-8.04	-62.1
401	20694	-479.1	-7.96	-62.01666667
402	20777	-478.6	-7.87	-61.93333333
403	20859	-479	-7.94	-62
404	20943	-480.1	-8.12	-62.18333333
405	21026	-480	-8.1	-62.16666667
406	21110	-479	-7.93	-62
407	21192	-478.9	-7.91	-61.98333333
408	21275	-478.9	-7.91	-61.98333333
409	21358	-479.5	-8	-62.08333333
410	21442	-480	-8.09	-62.16666667
411	21525	-477.8	-7.73	-61.8
412	21605	-475.6	-7.36	-61.43333333
413	21686	-477.4	-7.66	-61.73333333
414	21769	-480.9	-8.24	-62.31666667
415	21854	-481.5	-8.33	-62.41666667
416	21939	-480.2	-8.12	-62.2
417	22023	-480.4	-8.15	-62.23333333
418	22108	-482	-8.41	-62.5
419	22196	-484.5	-8.82	-62.91666667
420	22284	-484.5	-8.82	-62.91666667
421	22371	-482.3	-8.45	-62.55
422	22457	-481.4	-8.3	-62.4
423	22543	-481.9	-8.37	-62.48333333
424	22629	-482.3	-8.45	-62.55
425	22716	-482.8	-8.52	-62.63333333
426	22803	-483.2	-8.59	-62.7
427	22888	-479.5	-7.97	-62.08333333
428	22972	-479.2	-7.92	-62.03333333
429	23057	-482.7	-8.5	-62.61666667
430	23145	-484.5	-8.8	-62.91666667
431	23234	-485.1	-8.89	-63.01666667
432	23324	-485.8	-9.01	-63.13333333
433	23412	-483	-8.54	-62.66666667
434	23497	-478.3	-7.76	-61.88333333
435	23581	-481	-8.2	-62.33333333
436	23668	-483.6	-8.63	-62.76666667
437	23755	-483.6	-8.63	-62.76666667
438	23843	-483.6	-8.63	-62.76666667
439	23931	-482.5	-8.44	-62.58333333
440	24017	-481.4	-8.26	-62.4
441	24102	-480	-8.03	-62.16666667
442	24186	-479.1	-7.87	-62.01666667
443	24272	-484	-8.68	-62.83333333
444	24363	-488.3	-9.39	-63.55
445	24453	-482.7	-8.46	-62.61666667
446	24537	-477.1	-7.53	-61.68333333
447	24619	-477	-7.51	-61.66666667
448	24700	-477	-7.5	-61.66666667
449	24781	-475.5	-7.25	-61.41666667
450	24860	-474	-7	-61.16666667
451	24941	-477.5	-7.57	-61.75
452	25024	-480.9	-8.14	-62.31666667
453	25109	-480	-7.98	-62.16666667
454	25193	-479.1	-7.83	-62.01666667
455	25277	-478.2	-7.68	-61.86666667
456	25360	-479.5	-7.89	-62.08333333
457	25445	-481.8	-8.27	-62.46666667
458	25531	-481	-8.13	-62.33333333
459	25615	-478.4	-7.7	-61.9
460	25697	-474.5	-7.05	-61.25
461	25776	-474.1	-6.98	-61.18333333
462	25855	-475.8	-7.26	-61.46666667
463	25936	-476	-7.29	-61.5
464	26017	-477.1	-7.47	-61.68333333
465	26099	-477.2	-7.48	-61.7
466	26180	-475.3	-7.16	-61.38333333
467	26261	-475.8	-7.24	-61.46666667
468	26342	-477.7	-7.55	-61.78333333
469	26425	-479.3	-7.82	-62.05
470	26510	-480.7	-8.05	-62.28333333
471	26595	-481	-8.09	-62.33333333
472	26681	-481	-8.09	-62.33333333
473	26766	-478.9	-7.74	-61.98333333
474	26849	-477.8	-7.56	-61.8
475	26933	-479.9	-7.9	-62.15
476	27019	-484.4	-8.64	-62.9
477	27110	-486.7	-9.02	-63.28333333
478	27202	-486.7	-9.02	-63.28333333
479	27293	-485.5	-8.82	-63.08333333
480	27382	-484.3	-8.62	-62.88333333
481	27470	-481.4	-8.14	-62.4
482	27555	-479.6	-7.84	-62.1
483	27641	-482.3	-8.28	-62.55
484	27730	-484.6	-8.66	-62.93333333
485	27819	-483.8	-8.52	-62.8
486	27907	-482.3	-8.27	-62.55
487	27993	-481.2	-8.09	-62.36666667
488	28079	-480.1	-7.9	-62.18333333
489	28163	-478.9	-7.69	-61.98333333
490	28247	-477.6	-7.49	-61.76666667
491	28331	-481.7	-8.16	-62.45
492	28420	-485.7	-8.82	-63.11666667
493	28510	-483.6	-8.47	-62.76666667
494	28597	-481.5	-8.12	-62.41666667
495	28683	-479.4	-7.77	-62.06666667
496	28766	-477.2	-7.42	-61.7
497	28848	-475.1	-7.07	-61.35
498	28927	-473	-6.71	-61
499	29006	-473	-6.71	-61
500	29085	-474.6	-6.98	-61.26666667
501	29166	-476.2	-7.25	-61.53333333
502	29249	-477.9	-7.52	-61.81666667
503	29332	-479.5	-7.79	-62.08333333
504	29418	-481.1	-8.05	-62.35
505	29505	-482.9	-8.35	-62.65
506	29594	-483	-8.37	-62.66666667
507	29682	-482.8	-8.33	-62.63333333
508	29771	-484.3	-8.58	-62.88333333
509	29861	-483.4	-8.43	-62.73333333
510	29949	-482.6	-8.3	-62.6
511	30036	-480.5	-7.95	-62.25
512	30120	-475.6	-7.14	-61.43333333
513	30201	-474.9	-7.02	-61.31666667
514	30283	-478.5	-7.62	-61.91666667
515	30368	-479.8	-7.83	-62.13333333
516	30453	-479.3	-7.75	-62.05
517	30538	-478.6	-7.64	-61.93333333
518	30622	-478	-7.52	-61.83333333
519	30705	-477.3	-7.41	-61.71666667
520	30788	-476.6	-7.3	-61.6
521	30871	-478.6	-7.63	-61.93333333
522	30957	-480.5	-7.95	-62.25
523	31043	-480.8	-8	-62.3
524	31130	-481.1	-8.05	-62.35
525	31216	-479.9	-7.85	-62.15
526	31302	-478.7	-7.65	-61.95
527	31387	-479.4	-7.77	-62.06666667
528	31473	-481	-8.03	-62.33333333
529	31560	-482	-8.2	-62.5
530	31648	-480.4	-7.93	-62.23333333
531	31733	-477.2	-7.4	-61.7
532	31815	-475.6	-7.14	-61.43333333
533	31896	-473.4	-6.77	-61.06666667
534	31976	-473.2	-6.74	-61.03333333
535	32056	-473.5	-6.79	-61.08333333
536	32137	-475.3	-7.09	-61.38333333
537	32219	-476.4	-7.27	-61.56666667
538	32300	-472.4	-6.61	-60.9
539	32380	-475.2	-7.07	-61.36666667
540	32463	-477.7	-7.49	-61.78333333
541	32546	-474.7	-6.99	-61.28333333
542	32626	-472.5	-6.62	-60.91666667
543	32705	-473	-6.71	-61
544	32787	-477.6	-7.47	-61.76666667
545	32871	-477.6	-7.47	-61.76666667
546	32955	-476.5	-7.29	-61.58333333
547	33039	-478.3	-7.59	-61.88333333
548	33124	-478.4	-7.6	-61.9
549	33209	-478.4	-7.6	-61.9
550	33293	-476.8	-7.34	-61.63333333
551	33376	-475.2	-7.07	-61.36666667
552	33459	-477.4	-7.44	-61.73333333
553	33544	-478	-7.54	-61.83333333
554	33628	-476.6	-7.31	-61.6
555	33711	-475.5	-7.12	-61.41666667
556	33793	-475.8	-7.17	-61.46666667
557	33877	-476.9	-7.36	-61.65
558	33960	-475.8	-7.17	-61.46666667
559	34041	-471.9	-6.53	-60.81666667
560	34121	-474	-6.88	-61.16666667
561	34202	-473.3	-6.76	-61.05
562	34281	-470.2	-6.25	-60.53333333
563	34360	-472.3	-6.59	-60.88333333
564	34438	-469.2	-6.08	-60.36666667
565	34515	-468.8	-6.01	-60.3
566	34592	-469.6	-6.15	-60.43333333
567	34669	-467.9	-5.87	-60.15
568	34744	-466.9	-5.7	-59.98333333
569	34818	-463.5	-5.14	-59.41666667
570	34889	-461.6	-4.82	-59.1
571	34960	-463	-5.05	-59.33333333
572	35033	-465.8	-5.52	-59.8
573	35108	-468.6	-5.98	-60.26666667
574	35185	-468.1	-5.9	-60.18333333
575	35261	-467.6	-5.82	-60.1
576	35336	-465	-5.39	-59.66666667
577	35409	-464.1	-5.24	-59.51666667
578	35482	-464.9	-5.37	-59.65
579	35556	-466	-5.55	-59.83333333
580	35631	-466.6	-5.65	-59.93333333
581	35705	-465.1	-5.41	-59.68333333
582	35780	-466.4	-5.62	-59.9
583	35855	-467	-5.72	-60
584	35930	-467.3	-5.77	-60.05
585	36007	-470	-6.22	-60.5
586	36086	-471.1	-6.4	-60.68333333
587	36166	-472.9	-6.7	-60.98333333
588	36248	-474.9	-7.03	-61.31666667
589	36331	-476	-7.22	-61.5
590	36416	-478.9	-7.7	-61.98333333
591	36502	-476.5	-7.3	-61.58333333
592	36585	-472.7	-6.67	-60.95
593	36666	-474.5	-6.97	-61.25
594	36748	-472.6	-6.65	-60.93333333
595	36827	-468.8	-6.02	-60.3
596	36905	-470.6	-6.32	-60.6
597	36985	-472.4	-6.62	-60.9
598	37066	-473.3	-6.76	-61.05
599	37148	-474.1	-6.9	-61.18333333
600	37230	-474.1	-6.9	-61.18333333
601	37313	-474.5	-6.97	-61.25
602	37396	-475.9	-7.2	-61.48333333
603	37479	-473.5	-6.8	-61.08333333
604	37558	-468.5	-5.97	-60.25
605	37637	-471	-6.38	-60.66666667
606	37718	-474	-6.88	-61.16666667
607	37799	-472.3	-6.6	-60.88333333
608	37880	-471.4	-6.45	-60.73333333
609	37959	-470.5	-6.3	-60.58333333
610	38039	-471.3	-6.43	-60.71666667
611	38120	-472.7	-6.66	-60.95
612	38201	-473.5	-6.8	-61.08333333
613	38284	-474.5	-6.96	-61.25
614	38367	-475.3	-7.09	-61.38333333
615	38451	-475.8	-7.18	-61.46666667
616	38535	-475.8	-7.18	-61.46666667
617	38619	-474.4	-6.94	-61.23333333
618	38702	-473.1	-6.73	-61.01666667
619	38783	-472.9	-6.69	-60.98333333
620	38865	-472.6	-6.64	-60.93333333
621	38946	-472.4	-6.6	-60.9
622	39027	-472.1	-6.56	-60.85
623	39107	-470	-6.21	-60.5
624	39185	-468.3	-5.93	-60.21666667
625	39263	-468.3	-5.93	-60.21666667
626	39341	-469.7	-6.16	-60.45
627	39420	-470.2	-6.24	-60.53333333
628	39499	-470.2	-6.24	-60.53333333
629	39579	-469.5	-6.13	-60.41666667
630	39657	-469.5	-6.13	-60.41666667
631	39735	-468.2	-5.91	-60.2
632	39812	-465.6	-5.48	-59.76666667
633	39889	-470.2	-6.24	-60.53333333
634	39971	-474.5	-6.96	-61.25
635	40054	-474.2	-6.91	-61.2
636	40138	-476	-7.21	-61.5
637	40223	-475.2	-7.07	-61.36666667
638	40305	-470.6	-6.31	-60.6
639	40386	-471.8	-6.51	-60.8
640	40468	-474.2	-6.91	-61.2
641	40551	-473	-6.71	-61
642	40632	-472.1	-6.56	-60.85
643	40714	-472.8	-6.67	-60.96666667
644	40796	-471.5	-6.46	-60.75
645	40875	-467.2	-5.74	-60.03333333
646	40952	-467.2	-5.74	-60.03333333
647	41031	-471	-6.37	-60.66666667
648	41112	-472.3	-6.59	-60.88333333
649	41191	-468.1	-5.89	-60.18333333
650	41268	-463.9	-5.19	-59.48333333
651	41342	-463.4	-5.11	-59.4
652	41415	-462.9	-5.02	-59.31666667
653	41489	-463.3	-5.09	-59.38333333
654	41564	-465.7	-5.48	-59.78333333
655	41638	-461.6	-4.8	-59.1
656	41710	-460	-4.53	-58.83333333
657	41782	-463.3	-5.08	-59.38333333
658	41855	-461.7	-4.81	-59.11666667
659	41927	-460.9	-4.68	-58.98333333
660	42001	-464.5	-5.27	-59.58333333
661	42077	-467	-5.69	-60
662	42152	-462.8	-4.99	-59.3
663	42225	-460.8	-4.65	-58.96666667
664	42298	-464.7	-5.3	-59.61666667
665	42374	-467.1	-5.7	-60.01666667
666	42451	-465.3	-5.4	-59.71666667
667	42527	-465.9	-5.49	-59.81666667
668	42603	-465.5	-5.43	-59.75
669	42679	-467.1	-5.69	-60.01666667
